TransactionID,UserID,Amount,Timestamp,MerchantCategory,TransactionType,DeviceID,Latitude,Longitude,AvgTransactionAmount,TransactionFrequency,UnusualLocation,UnusualAmount,NewDevice,FailedAttempts,FraudFlag,BankName
592863054785,0cc467c5-8b71-4ba4-9c75-4a9e2bec2c8c,1.4180378906863442,2024-07-01 13:43:33,1,0,8933,-1.211384309273225,-0.9787775370669098,0.7920826782355949,0.0006772724318765678,0,1,0,-0.015790153939862,0,3
373481869464,f7de03ee-b7f5-4568-8ba2-e889bced4d88,1.3221553851819605,2024-04-02 05:23:39,1,1,5327,-0.253494340000554,-0.18103885982361403,1.3066951034640344,0.0006772724318765678,1,0,1,0.6903893049349611,0,3
285572156436,456b3f39-e9cc-429f-8568-125612c12987,-0.3595681340249681,2024-06-14 16:13:43,4,1,6393,-0.46077561148764534,0.7810039776681342,1.1671193966894697,-1.2230185574825883,1,1,0,1.3965687638097841,0,5
874207772966,7b4b734d-f0c5-4dce-8b9c-0b2e226abc86,-0.21876707236208331,2024-07-16 03:22:40,3,0,5403,0.21727902681845754,0.1211887177254968,-1.1299969652832758,-1.2230185574825883,1,1,0,-1.4281490716895082,0,3
213969747071,bea32ff5-e357-4d93-adb2-acb9a2f409c6,1.1872017917141064,2024-03-07 14:02:16,1,1,866,-0.6075940024678679,-0.8607133423951876,-0.49596803591981575,-1.2230185574825883,0,1,1,-0.015790153939862,0,3
285614658293,baf1eb6c-f1f3-475d-a034-153aee922877,1.49599950346237,2024-05-08 11:03:36,0,0,5112,0.6771444309094324,-1.4791441034083699,0.7041820394614159,-1.2230185574825883,1,1,1,-1.4281490716895082,0,5
485980480692,d0fe4bc4-2c2c-47c1-aaee-79b7aeea7320,-1.3020973646986835,2024-02-11 12:57:54,2,1,4057,-0.00865469200975445,0.7880857896842022,0.16250353676781562,1.2243731023463413,0,1,1,0.6903893049349611,0,0
546464892910,e909fbc4-09fc-4a52-9fd3-0265b65afa30,-1.6215483023509583,2024-02-24 18:49:37,4,0,3635,1.4359462223224564,0.6593801114662198,-0.7412712575864575,-1.2230185574825883,0,0,1,1.3965687638097841,0,3
322535968350,f76d5493-34c1-4205-a106-928fd9b054c6,1.6607807405141402,2024-07-08 21:32:01,2,0,1881,0.2308552364409544,0.9286900122358214,1.2494335416257694,1.2243731023463413,0,1,1,0.6903893049349611,0,4
881793080712,58aaef72-eb4d-4590-8595-dad3d555c1c9,-1.652983652451678,2024-07-08 15:07:43,2,1,3082,-1.1595836847673768,-1.5727174389862433,1.1070645879322651,-1.2230185574825883,0,1,0,0.6903893049349611,0,0
335375750519,9e1273ac-9466-43ef-a3ee-a21a90d3a81c,-0.8523562241877745,2024-01-01 10:44:35,6,0,9914,1.2698416698385824,0.8746722677431161,1.5668933316537572,1.2243731023463413,1,0,1,-0.7219696128146851,0,4
865752824844,882aad60-aa9e-4333-9bfb-4784d8637a78,0.6329909789254703,2024-03-15 01:00:25,6,1,7826,0.265379085779069,1.692685960016998,-1.173825989828972,0.0006772724318765678,0,0,1,-0.7219696128146851,0,3
298843177819,d1ec01c7-c96f-402e-bd8b-f0151bd979e5,0.1948301866511572,2024-07-24 05:10:33,0,0,8039,-0.5254104972139976,-1.143623271239834,-0.8466626124895309,0.0006772724318765678,0,1,1,1.3965687638097841,0,1
616665746189,325b255d-0b4f-4b88-b8cf-2ad03f0289a7,0.5931316633608879,2024-01-18 05:06:00,5,0,9753,1.121442140354858,-0.27229629122007454,0.0925060165832682,-1.2230185574825883,1,1,1,-0.7219696128146851,0,4
296148437922,39d822d5-924e-4e9f-b006-0877296e34a0,1.4250555469940382,2024-03-20 10:25:56,0,0,4090,0.6469749918483034,1.1761586214918074,-0.11631864792610343,-1.2230185574825883,1,0,0,1.3965687638097841,0,4
703412231022,aad2900f-f754-4077-a77f-c91f321a060c,0.47230019171559295,2024-07-14 04:43:58,1,0,1264,1.2531706086048828,1.3809246854714192,1.4542693386367538,1.2243731023463413,1,1,1,-0.015790153939862,0,1
689953066869,2bcf35b0-90d7-4eba-968b-b0a3161e2120,1.1500995365692712,2024-05-04 06:00:50,0,0,9799,-1.4347441594651436,-0.7380835391568734,-0.34905572402441315,0.0006772724318765678,0,1,0,-0.7219696128146851,0,2
796548733232,91e537e0-8413-4509-8598-19e6af98cce4,0.023659791951610467,2024-04-13 17:46:53,5,0,4650,-1.6484512623884664,0.08284839713510263,1.6567034977881543,1.2243731023463413,1,1,1,-1.4281490716895082,0,3
856414297152,1bd543c0-1421-45c5-a08a-adc1e086c232,-1.3986187859678445,2024-06-23 11:47:47,4,1,379,-1.364037999760115,1.436025596912836,-0.8525852663164144,1.2243731023463413,1,0,0,-0.7219696128146851,0,4
